"","year","month","date","count","demonth","wkday","deseason"
"246",2013,9,2013-09-03,550,-56.4583333333334,"Tues",-81.1285886647171
"247",2013,9,2013-09-04,604,-2.45833333333337,"Wed",-21.6078614434381
"248",2013,9,2013-09-05,493,-113.458333333333,"Thurs",-140.24026999414
"249",2013,9,2013-09-06,524,-82.4583333333334,"Fri",-151.890160666569
"250",2013,9,2013-09-07,585,-21.4583333333334,"Sat",19.4478184454336
"251",2013,9,2013-09-08,500,-106.458333333333,"Sun",-3.48140006596913
"252",2013,9,2013-09-09,632,25.5416666666666,"Mon",22.1687030736475
"253",2013,9,2013-09-10,629,22.5416666666666,"Tues",-2.12858866471713
"254",2013,9,2013-09-11,577,-29.4583333333334,"Wed",-48.6078614434381
"255",2013,9,2013-09-12,695,88.5416666666666,"Thurs",61.7597300058596
"256",2013,9,2013-09-13,652,45.5416666666666,"Fri",-23.8901606665693
"257",2013,9,2013-09-14,519,-87.4583333333334,"Sat",-46.5521815545664
"258",2013,9,2013-09-15,476,-130.458333333333,"Sun",-27.4814000659691
"259",2013,9,2013-09-16,570,-36.4583333333334,"Mon",-39.8312969263525
"260",2013,9,2013-09-17,627,20.5416666666666,"Tues",-4.12858866471713
"261",2013,9,2013-09-18,571,-35.4583333333334,"Wed",-54.6078614434381
"262",2013,9,2013-09-19,536,-70.4583333333334,"Thurs",-97.2402699941404
"263",2013,9,2013-09-20,631,24.5416666666666,"Fri",-44.8901606665693
"264",2013,9,2013-09-21,546,-60.4583333333334,"Sat",-19.5521815545664
"265",2013,9,2013-09-22,585,-21.4583333333334,"Sun",81.5185999340309
"266",2013,9,2013-09-23,661,54.5416666666666,"Mon",51.1687030736475
"267",2013,9,2013-09-24,615,8.54166666666663,"Tues",-16.1285886647171
"268",2013,9,2013-09-25,539,-67.4583333333334,"Wed",-86.6078614434381
"269",2013,9,2013-09-26,516,-90.4583333333334,"Thurs",-117.24026999414
"270",2013,9,2013-09-27,553,-53.4583333333334,"Fri",-122.890160666569
"271",2013,9,2013-09-28,547,-59.4583333333334,"Sat",-18.5521815545664
"272",2013,9,2013-09-29,506,-100.458333333333,"Sun",2.51859993403087
"273",2013,9,2013-09-30,605,-1.45833333333337,"Mon",-4.83129692635254
